property_id,largest_property_use_type_1,year_built,number_of_buildings,occupancy,national_median_energy_star,national_median_site_eui,national_median_source_eui,net_emissions_metric_tons,national_median_total_ghg,egrid_output_emissions_rate,multifamily_housing_gross,multifamily_housing_total,multifamily_housing_percent,multifamily_housing_percent_1,property_gfa_self_reported,property_gfa_calculated,number_of_active_energy_meters,number_of_active_it_meters,latitude,longitude,community_board,council_district,census_tract
2666655.0,61690.0,1940.0,1.0,100.0,50.0,93.0,136.3,337.0,430.7,84.5,61690.0,76.0,0.0,100.0,76450.0,76450.0,18.0,0.0,40.743106,-73.996377,104.0,3.0,87.0
2667120.0,74588.0,1963.0,1.0,100.0,50.0,86.8,131.4,492.5,404.1,84.5,74588.0,94.0,0.0,100.0,74588.0,83538.0,7.0,0.0,40.721854,-73.730729,413.0,23.0,568.0
2667225.0,46175.0,1936.0,1.0,100.0,50.0,104.7,141.7,262.7,283.1,84.5,46175.0,66.0,0.0,100.0,46175.0,50310.0,4.0,0.0,40.768025,-73.92383,401.0,22.0,73.0
2668240.0,56344.0,1964.0,1.0,100.0,50.0,99.4,134.5,429.1,330.3,84.5,56344.0,74.0,0.0,100.0,56344.0,63114.0,5.0,0.0,40.757436,-73.899149,403.0,25.0,30902.0
2668287.0,106554.0,1963.0,1.0,100.0,50.0,86.0,120.6,486.9,550.8,84.5,106554.0,114.0,0.0,100.0,107704.0,120384.0,5.0,0.0,40.767754,-73.824136,407.0,20.0,1161.0
2668380.0,63375.0,1964.0,1.0,100.0,50.0,71.6,110.7,261.8,281.5,84.5,63375.0,60.0,0.0,100.0,63375.0,63375.0,6.0,0.0,40.765158,-73.95963,108.0,5.0,118.0
2668685.0,78963.0,1912.0,1.0,100.0,50.0,97.7,139.4,352.4,461.9,84.5,78963.0,125.0,0.0,100.0,78963.0,78963.0,8.0,0.0,40.766021,-73.985267,104.0,3.0,139.0
2668691.0,72773.0,1962.0,1.0,100.0,50.0,99.0,134.7,388.4,423.0,84.5,72773.0,95.0,0.0,100.0,72773.0,80173.0,4.0,0.0,40.764431,-73.81925,407.0,20.0,1163.0
2668699.0,77640.0,1930.0,1.0,100.0,50.0,88.3,121.3,391.2,404.1,84.5,77640.0,93.0,0.0,100.0,77640.0,77640.0,8.0,0.0,40.736885,-73.981647,106.0,2.0,64.0
2668929.0,123060.0,1928.0,1.0,100.0,50.0,94.9,140.5,912.5,785.5,84.5,123060.0,120.0,0.0,100.0,136060.0,136060.0,26.0,0.0,40.865679,-73.926892,112.0,10.0,295.0
2668970.0,89630.0,1929.0,1.0,100.0,50.0,83.6,110.9,525.0,435.3,84.5,89630.0,73.0,0.0,100.0,89630.0,89630.0,9.0,0.0,40.869199,-73.916989,112.0,10.0,303.0
2669011.0,56984.0,1911.0,1.0,100.0,50.0,57.5,158.2,164.5,274.1,84.5,56984.0,113.0,0.0,100.0,56984.0,56984.0,4.0,0.0,40.77036,-73.94803,108.0,5.0,132.0
2669029.0,81922.0,1940.0,1.0,100.0,50.0,44.0,115.5,196.3,293.4,84.5,81922.0,88.0,0.0,100.0,81922.0,81922.0,5.0,0.0,40.769922,-73.949049,108.0,5.0,132.0
2669061.0,209113.0,1927.0,1.0,100.0,50.0,90.6,122.9,875.9,1110.8,84.5,209113.0,128.0,0.0,100.0,209113.0,209113.0,7.0,0.0,40.790566,-73.977118,107.0,6.0,175.0
2669097.0,56140.0,1920.0,1.0,100.0,50.0,86.0,111.9,287.4,278.3,84.5,56140.0,55.0,0.0,100.0,56140.0,56140.0,8.0,0.0,40.858565,-73.928324,112.0,10.0,283.0
2669141.0,71661.0,1957.0,1.0,100.0,50.0,89.6,119.6,381.7,373.9,84.5,71661.0,70.0,0.0,100.0,71661.0,75411.0,8.0,0.0,40.852806,-73.935488,112.0,10.0,271.0
2669177.0,132596.0,1925.0,1.0,100.0,50.0,90.3,125.8,578.1,709.5,84.5,132596.0,91.0,0.0,100.0,132596.0,132596.0,7.0,0.0,40.800664,-73.969255,107.0,6.0,191.0
2669295.0,261805.0,1963.0,1.0,100.0,50.0,90.7,131.5,1305.0,1487.6,84.5,261805.0,292.0,0.0,100.0,272000.0,292000.0,14.0,0.0,40.735828,-73.983614,106.0,2.0,64.0
2669318.0,62350.0,1963.0,1.0,100.0,50.0,91.9,117.9,290.1,328.5,84.5,62350.0,66.0,0.0,100.0,62350.0,67200.0,5.0,0.0,40.764338,-73.823326,407.0,20.0,1163.0
2669418.0,55080.0,1930.0,1.0,100.0,50.0,89.7,116.8,287.9,284.9,84.5,55080.0,56.0,0.0,100.0,55080.0,55080.0,8.0,0.0,40.868076,-73.925114,112.0,10.0,295.0
2669439.0,85020.0,1953.0,1.0,100.0,50.0,94.2,122.6,518.3,478.0,84.5,85020.0,79.0,0.0,100.0,87020.0,97520.0,6.0,0.0,40.708695,-73.816967,408.0,24.0,214.0
2669459.0,81073.0,1959.0,1.0,100.0,50.0,98.9,131.2,388.4,473.2,84.5,81073.0,90.0,0.0,100.0,81073.0,88583.0,6.0,0.0,40.741812,-73.878812,404.0,25.0,469.0
2669481.0,89026.0,1911.0,1.0,100.0,50.0,81.6,159.3,400.5,596.8,84.5,89026.0,184.0,0.0,100.0,105526.0,105526.0,18.0,0.0,40.770911,-73.950774,108.0,5.0,132.0
2803994.0,199784.0,1958.0,1.0,100.0,50.0,93.4,139.7,1612.2,1489.3,84.5,199784.0,187.0,0.0,100.0,208784.0,217672.0,6.0,0.0,40.76357,-73.963623,108.0,4.0,110.0
2805951.0,179407.0,1962.0,1.0,100.0,50.0,73.7,116.1,1098.0,864.1,84.5,179407.0,146.0,0.0,100.0,187445.0,194949.0,6.0,0.0,40.768201,-73.956917,108.0,5.0,126.0
3266491.0,49617.0,1959.0,1.0,100.0,50.0,95.1,130.3,228.0,277.8,84.5,49617.0,55.0,0.0,100.0,49617.0,55069.0,4.0,0.0,40.767423,-73.819589,407.0,20.0,1159.0
3513910.0,87000.0,1930.0,1.0,100.0,50.0,93.3,119.8,719.6,617.1,84.5,87000.0,90.0,100.0,100.0,87000.0,87000.0,11.0,0.0,40.762751,-73.800841,407.0,19.0,1175.0
4407514.0,116249.0,1931.0,1.0,100.0,50.0,79.9,120.6,582.3,569.9,84.5,116249.0,110.0,0.0,100.0,116249.0,116249.0,12.0,0.0,40.739417,-73.999614,104.0,3.0,81.0
4407515.0,56442.0,1925.0,1.0,100.0,50.0,91.8,110.2,458.4,298.1,84.5,56442.0,63.0,0.0,100.0,56442.0,56442.0,6.0,0.0,40.751913,-73.883562,403.0,25.0,281.0
4407516.0,76320.0,1942.0,1.0,100.0,50.0,106.1,136.9,480.3,465.2,84.5,76320.0,99.0,0.0,100.0,76320.0,76320.0,8.0,0.0,40.746228,-73.914998,402.0,26.0,169.0
4407517.0,61056.0,1942.0,1.0,100.0,50.0,96.3,122.3,311.3,335.5,84.5,61056.0,60.0,0.0,100.0,61056.0,61056.0,7.0,0.0,40.746446,-73.916893,402.0,26.0,169.0
4407519.0,72122.0,1932.0,1.0,100.0,50.0,90.2,119.5,296.2,377.6,84.5,72122.0,66.0,0.0,100.0,72122.0,72122.0,6.0,0.0,40.706308,-73.832353,409.0,29.0,134.0
4937955.0,117778.0,1966.0,1.0,100.0,50.0,113.4,153.9,1283.5,1106.4,84.5,117778.0,176.0,100.0,100.0,127778.0,127778.0,11.0,0.0,40.759351,-73.988814,104.0,3.0,121.0
6616070.0,62200.0,1930.0,1.0,100.0,50.0,118.0,155.6,318.1,425.3,84.5,62200.0,120.0,100.0,100.0,62200.0,62200.0,6.0,0.0,40.765462,-73.977827,105.0,4.0,137.0
7530285.0,48432.0,1911.0,1.0,100.0,50.0,57.6,154.2,67.8,229.7,84.5,48432.0,92.0,100.0,100.0,48432.0,48432.0,4.0,0.0,40.77116,-73.949907,108.0,5.0,132.0
7530286.0,44364.0,1911.0,1.0,100.0,50.0,161.8,173.0,2863.4,383.8,84.5,44364.0,102.0,100.0,100.0,44364.0,44364.0,4.0,0.0,40.77105,-73.949647,108.0,5.0,132.0
7530287.0,44952.0,1911.0,1.0,100.0,50.0,65.4,171.6,61.4,239.2,84.5,44952.0,102.0,100.0,100.0,44952.0,44952.0,2.0,0.0,40.770646,-73.948694,108.0,5.0,132.0
7530288.0,44364.0,1911.0,1.0,100.0,50.0,65.1,170.9,65.8,235.0,84.5,44364.0,100.0,100.0,100.0,44364.0,44364.0,3.0,0.0,40.770792,-73.949041,108.0,5.0,132.0
7530289.0,44364.0,1911.0,1.0,100.0,50.0,63.4,169.8,66.3,231.7,84.5,44364.0,99.0,100.0,100.0,44364.0,44364.0,4.0,0.0,40.77094,-73.949387,108.0,5.0,132.0
7530290.0,44364.0,1911.0,1.0,100.0,50.0,57.3,157.1,107.5,212.3,84.5,44364.0,87.0,100.0,100.0,44364.0,44364.0,3.0,0.0,40.770444,-73.950276,108.0,5.0,132.0
7530291.0,44764.0,1911.0,1.0,100.0,50.0,63.9,169.9,65.0,234.6,84.5,44764.0,100.0,100.0,100.0,44764.0,44764.0,3.0,0.0,40.770298,-73.949929,108.0,5.0,132.0
7530292.0,47574.0,1920.0,1.0,100.0,50.0,59.5,159.8,67.3,233.6,84.5,47574.0,96.0,100.0,100.0,47574.0,47574.0,3.0,0.0,40.770587,-73.950619,108.0,5.0,132.0
7530293.0,44364.0,1911.0,1.0,100.0,50.0,65.2,173.0,70.2,236.9,84.5,44364.0,102.0,100.0,100.0,44364.0,44364.0,3.0,0.0,40.770087,-73.949435,108.0,5.0,132.0
7530294.0,44364.0,1911.0,1.0,100.0,50.0,64.2,170.9,62.6,233.7,84.5,44364.0,100.0,100.0,100.0,44364.0,44364.0,3.0,0.0,40.770067,-73.949388,108.0,5.0,132.0
20660629.0,679838.0,1911.0,13.0,100.0,50.0,112.6,159.0,4258.4,4672.8,84.5,679838.0,1365.0,100.0,100.0,696338.0,696338.0,59.0,0.0,40.769922,-73.949049,108.0,5.0,132.0
6249277.0,46000.0,1928.0,1.0,100.0,50.0,79.5,116.9,268.1,221.9,84.5,46000.0,49.0,100.0,100.0,46000.0,46000.0,16.0,0.0,40.844428,-73.829482,210.0,13.0,26602.0
3116207.0,191110.0,1957.0,1.0,100.0,50.0,89.9,118.9,1222.2,1301.1,84.5,191110.0,195.0,100.0,100.0,191910.0,209410.0,10.0,0.0,40.740179,-73.878761,404.0,25.0,471.0
3116420.0,92782.0,1951.0,1.0,100.0,50.0,87.3,116.6,341.7,471.7,84.5,92782.0,79.0,100.0,100.0,92782.0,104482.0,11.0,0.0,40.881081,-73.917882,208.0,11.0,301.0
2740668.0,150105.0,1967.0,1.0,100.0,50.0,88.2,112.6,882.1,1001.1,84.5,150105.0,138.0,100.0,100.0,150105.0,150105.0,6.0,0.0,40.852295,-73.941359,112.0,10.0,275.0
18258555.0,51070.0,1942.0,1.0,100.0,50.0,48.7,129.2,160.2,203.8,84.5,51070.0,90.0,100.0,100.0,51070.0,51070.0,4.0,0.0,40.899871,-73.857923,212.0,11.0,414.0
18305197.0,187000.0,2021.0,1.0,100.0,50.0,50.2,138.2,204.7,785.9,84.5,187000.0,254.0,100.0,100.0,187000.0,187000.0,8.0,0.0,40.838715,-73.918794,204.0,16.0,219.0
18305201.0,32883.0,1931.0,1.0,100.0,50.0,196.8,371.9,48.5,441.3,84.5,32883.0,215.0,100.0,100.0,32883.0,32883.0,9.0,0.0,40.68679,-73.945553,303.0,36.0,265.0
18305202.0,36134.0,2015.0,1.0,100.0,50.0,84.8,143.0,130.4,197.7,84.5,36134.0,60.0,100.0,100.0,36134.0,36134.0,10.0,0.0,40.834596,-73.896325,203.0,16.0,153.0
18305213.0,76900.0,2016.0,1.0,100.0,50.0,43.6,122.2,73.6,283.7,84.5,76900.0,82.0,100.0,100.0,76900.0,76900.0,7.0,0.0,40.870972,-73.877076,207.0,11.0,425.0
6804811.0,28745.0,1923.0,1.0,100.0,50.0,108.5,132.1,244.9,175.0,84.5,28745.0,37.0,100.0,100.0,28745.0,28745.0,9.0,0.0,40.856339,-73.901594,205.0,14.0,23704.0
15088530.0,30919.0,2011.0,1.0,100.0,50.0,80.4,134.9,161.4,160.0,84.5,30919.0,46.0,100.0,100.0,30919.0,30919.0,8.0,0.0,40.691491,-73.943912,303.0,36.0,261.0
6429610.0,53733.0,2015.0,1.0,100.0,50.0,83.1,145.5,271.5,293.2,84.5,53733.0,92.0,100.0,100.0,53733.0,53733.0,9.0,0.0,40.853952,-73.906026,205.0,14.0,241.0
20566009.0,44256.0,1927.0,1.0,100.0,50.0,85.1,114.4,291.8,288.7,84.5,44256.0,46.0,100.0,100.0,44256.0,44256.0,6.0,0.0,40.789844,-73.978018,107.0,6.0,175.0
2790612.0,65724.0,1981.0,1.0,100.0,50.0,86.0,133.1,347.2,356.1,84.5,65724.0,29.0,90.0,100.0,66738.0,66738.0,6.0,0.0,40.777129,-73.955232,108.0,5.0,140.0
2790741.0,65953.0,1999.0,1.0,100.0,50.0,67.9,132.5,344.0,310.2,84.5,65953.0,20.0,90.0,100.0,65953.0,65953.0,10.0,0.0,40.772899,-73.960033,108.0,4.0,128.0
4401430.0,70759.0,1900.0,1.0,100.0,50.0,90.9,128.0,428.8,553.7,84.5,70759.0,25.0,100.0,100.0,79759.0,79759.0,10.0,0.0,40.722117,-74.000541,102.0,1.0,47.0
6896695.0,25700.0,1912.0,1.0,100.0,50.0,61.0,145.7,99.4,139.8,84.5,25700.0,32.0,100.0,100.0,29700.0,29700.0,9.0,0.0,40.820666,-73.895902,202.0,17.0,87.0
9297463.0,699956.0,1961.0,8.0,90.0,50.0,99.0,119.5,2798.7,3876.2,84.5,699956.0,528.0,0.0,100.0,699956.0,699956.0,29.0,0.0,40.734997,-73.866231,404.0,25.0,683.0
10855948.0,368854.0,1961.0,1.0,100.0,50.0,101.5,106.5,554.0,1988.1,84.5,368854.0,442.62,100.0,100.0,368854.0,368854.0,2.0,0.0,40.734278,-73.866139,404.0,25.0,683.0
10855954.0,368854.0,1961.0,1.0,100.0,50.0,101.5,106.5,18.4,1988.1,84.5,368854.0,442.62,100.0,100.0,368854.0,368854.0,2.0,0.0,40.735013,-73.866239,404.0,25.0,683.0
